charger,Extra ports added,x_coord,y_coord,Latitude,Longitude,NearestBus,Pwr_Region
1024,2,-10897057.99628538,3535556.523598031,30.24868750000001,-97.88993750000004,p3udt20055lv,P3U
1070,1,-10887275.79603192,3520005.639460523,30.1279375,-97.80206250000002,p3udt25359lv,P3U
1255,2,-10873513.9239826,3566538.152951642,30.488812500000005,-97.67843750000002,p1ulv29219,P1U
18,6,-10913830.81697494,3554073.75264424,30.39227731699329,-98.04061031183231,p1rlv3226,P1R
23,4,-10907530.81697494,3547773.75264424,30.343448283540734,-97.98401644893279,p4ulv38004,P4U
24,6,-10907530.81697494,3554073.75264424,30.39227731699329,-97.98401644893279,p4udt15767lv,P4U
25,4,-10907530.81697494,3560373.75264424,30.441081955719383,-97.98401644893279,p4ulv10658,P4U
26,5,-10907530.81697494,3566673.75264424,30.489862176513196,-97.98401644893279,p4ulv19599,P4U
33,6,-10901230.81697494,3560373.75264424,30.441081955719383,-97.92742258603326,p4ulv32823,P4U
34,6,-10901230.81697494,3566673.75264424,30.489862176513196,-97.92742258603326,p4ulv16185,P4U
36,4,-10894930.81697494,3522573.75264424,30.147888669468426,-97.87082872313373,p3udt31036-p3udt4803x,P3U
39,3,-10894930.81697494,3560373.75264424,30.441081955719383,-97.87082872313373,p4udt12818-p4udt15019x,P4U
42,5,-10888630.81697494,3516273.75264424,30.098938013357436,-97.8142348602342,p1rdt8111,P1R
45,3,-10882330.81697494,3516273.75264424,30.098938013357436,-97.75764099733466,p1rlv10253,P1R
48,6,-10876030.81697494,3509973.75264424,30.049963103487254,-97.70104713443513,p1rdt7880,P1R
50,6,-10876030.81697494,3522573.75264424,30.147888669468426,-97.70104713443513,p3ulv8909,P3U
56,3,-10869730.81697494,3566673.75264424,30.489862176513196,-97.6444532715356,p1ulv48872,P1U
62,6,-10863430.81697494,3547773.75264424,30.343448283540734,-97.58785940863608,p1rlv9788,P1R
70,3,-10857130.81697494,3535173.75264424,30.245717125691755,-97.53126554573655,p1rlv767,P1R
