charger,Extra ports added,x_coord,y_coord,Latitude,Longitude,NearestBus,Pwr_Region
1024,2,-10897057.99628538,3535556.523598031,30.24868750000001,-97.88993750000004,p3udt20055lv,P3U
1027,1,-10887247.96615922,3547998.095122939,30.34518749999999,-97.80181250000001,p5ulv32726,P5U
1028,6,-10907883.81676502,3544354.605510323,30.316937499999998,-97.98718749999999,p4ulv19021,P4U
1032,1,-10903347.54751519,3543871.035444167,30.313187499999994,-97.94643749999994,p4ulv30034,P4U
1038,1,-10907355.04918375,3529646.229205474,30.202812500000007,-97.98243749999997,p3udt8237_b2_1,P3U
1040,6,-10885939.9621424,3561727.05629189,30.451562499999998,-97.79006250000003,p1udt9402,P1U
1041,6,-10890893.6794827,3565294.840891702,30.479187499999995,-97.83456250000002,p4udt8985_b2_1,P4U
1045,4,-10895680.41758681,3552707.170300589,30.38168749999999,-97.87756250000001,p4udt7423lv,P4U
1051,1,-10892396.49260841,3555756.105152155,30.405312499999994,-97.84806250000001,p4ulv34319,P4U
1061,1,-10887748.90386779,3546901.713354388,30.336687499999996,-97.80631250000002,p5udt21687,P5U
1069,4,-10886371.32516922,3521952.480829009,30.143062499999992,-97.7939375,p3ulv37691,P3U
1070,6,-10887275.79603192,3520005.639460523,30.1279375,-97.80206250000002,p3udt25359lv,P3U
1071,2,-10882182.92932812,3523159.350499165,30.1524375,-97.75631249999995,p3udt19678,P3U
1079,1,-10890615.38075572,3525315.909927899,30.1691875,-97.83206250000005,p3ulv68166,P3U
1098,1,-10870438.72304943,3530000.447125704,30.205562500000003,-97.65081249999996,p2udt1082,P2U
1121,1,-10843276.76729587,3549094.572113656,30.35368750000001,-97.40681249999996,p2ulv1792,P2U
1122,4,-10865359.77128199,3536345.845202754,30.254812499999996,-97.60518749999999,p2udt4133lv,P2U
1129,1,-10868782.84562388,3539342.493729262,30.278062500000004,-97.63593749999997,p2udm22464,P2U
1134,1,-10871718.89719356,3547127.431230443,30.3384375,-97.66231250000003,p5ulv72775,P5U
1136,1,-10857511.74718107,3549965.371702002,30.360437500000007,-97.53468750000003,p2ulv22751,P2U
1177,1,-10892340.83286301,3575955.796205597,30.5616875,-97.8475625,p4udt23478-p4udt7814x_b2_1,P4U
1185,2,-10895318.62924173,3552884.6013293,30.383062499999998,-97.87431249999999,p4ulv33434,P4U
1232,1,-10864469.21535565,3563648.045338351,30.466437499999998,-97.59718750000005,p1ulv10966,P1U
1238,1,-10868059.26893373,3560581.059628194,30.442687499999998,-97.62943750000002,p1udt24509lv,P1U
1241,1,-10863731.72372914,3557918.230780434,30.422062499999992,-97.59056249999999,p1rlv2990,P1R
1246,1,-10870703.10684007,3554400.931957952,30.394812499999997,-97.65318750000002,p1ulv31449,P1U
1255,5,-10873513.9239826,3566538.152951642,30.488812500000005,-97.67843750000002,p1ulv29219,P1U
1354,1,-10889975.29368365,3541050.578740198,30.291312499999997,-97.82631249999997,p5udt32429,P5U
10,2,-10920130.81697494,3560373.75264424,30.441081955719383,-98.09720417473184,p4ulv30705,P4U
18,2,-10913830.81697494,3554073.75264424,30.39227731699329,-98.04061031183231,p1rlv3226,P1R
25,2,-10907530.81697494,3560373.75264424,30.441081955719383,-97.98401644893279,p4ulv10658,P4U
26,2,-10907530.81697494,3566673.75264424,30.489862176513196,-97.98401644893279,p4ulv19599,P4U
44,2,-10882330.81697494,3509973.75264424,30.049963103487254,-97.75764099733466,p1rdt6170lv,P1R
48,2,-10876030.81697494,3509973.75264424,30.049963103487254,-97.70104713443513,p1rdt7880,P1R
52,2,-10869730.81697494,3509973.75264424,30.049963103487254,-97.6444532715356,p1rdt1252-p1rdt4368x_b2_1,P1R
