Capacity,Vmin
24.2206104484731,0.717529247228315
32.07746176254071,0.7175292334481217
46.13289542516546,0.7175292252413178
52.91661600307435,0.717529217136307
54.083562292654776,0.7175292124399226
60.27635597862388,0.7175292078335319
76.90053080787641,0.7175291886822903
78.5185519176035,0.7175291865414208
66.27596934496798,0.7175291860766684
84.33670963564104,0.7175291787654359
73.26711179379524,0.7175291769536329
81.38549642107495,0.7175291761726686
80.2659401896701,0.7175291722913122
83.63437042410887,0.7175291710422433
97.62693411038002,0.7175291630335242
111.59673738843024,0.7175291576067729
94.8968556097989,0.7175291574429571
118.1092012025476,0.717529154452955
100.06543141041497,0.7175291470581209
95.03312155830498,0.7175291456505168
118.89452227199577,0.7175291408088287
114.2848179284354,0.7175291389162656
128.71856110001792,0.7175291376592915
118.7067802766847,0.7175291344423012
129.8587884940902,0.7175291335695237
121.82736185309777,0.7175291295566529
134.22774896025015,0.7175291291560477
111.5709226857922,0.7175291283742811
116.9460282432773,0.7175291282504918
117.7146225598047,0.717529126771342
118.57558319857188,0.7175291232094502
120.87699932958185,0.7175291192547882
156.540049339263,0.7175291149145634
129.58407817251302,0.7175291111748795
148.41989025587358,0.7175291099355475
146.94214463619886,0.7175291052842971
126.76898517603303,0.7175291049041455
155.8062068338525,0.7175291019296856
140.3810741220318,0.7175290996031194
133.98215965118197,0.7175290986763642
170.2493246116211,0.7175290977794664
139.35386619723698,0.7175290971281492
142.30364365512804,0.7175290970948004
145.59454039250335,0.7175290927946975
153.372590086971,0.7175290925834387
177.9369860512169,0.7175290904800395
137.64116563091167,0.7175290888386463
169.40928783426833,0.7175290872284518
175.53242404217514,0.7175290844016816
152.22643608396697,0.7175290837207297
169.42696278198048,0.7175290806590512
183.63201745624593,0.717529075957795
191.4707439734002,0.7175290752602598
160.90707095105182,0.7175290720967725
152.8639948720599,0.7175290701827083
185.2913418737546,0.7175290691809081
176.44261481113125,0.7175290684899185
204.47959964437797,0.7175290665856673
164.6200485691105,0.7175290660013636
164.8184476084689,0.7175290656238483
186.34086322778893,0.7175290655196608
161.08108347468345,0.7175290628132391
190.93380059292664,0.7175290594801
175.4140131463052,0.7175290591154381
158.48616031038458,0.7175290584300593
184.86841666729094,0.7175290582323913
158.91613348298316,0.7175290573267773
191.26302548433532,0.7175290568246229
171.74066674847768,0.7175290565145849
175.7103445875824,0.7175290537523901
164.28310145949544,0.7175290520991034
171.12580818017722,0.7175290487355256
216.7483744876016,0.7175290475074155
192.92487356648047,0.7175290458603544
173.7736628272091,0.7175290449852469
218.29553652877416,0.7175290416748743
200.50610958357896,0.717529039554845
220.5177106177004,0.7175290369421633
240.0158368997732,0.7175290364719791
216.2272438002549,0.7175290358539247
251.64921052673222,0.7175290356824223
200.85275447242105,0.7175290346178907
201.32109061916674,0.7175290314421201
244.6482641793594,0.7175290308656334
204.4842683497003,0.7175290296979548
257.07572267315305,0.7175290294998825
209.20720092491328,0.7175290291320094
230.94589421036332,0.717529027725267
232.1125240388645,0.7175290275194804
230.02358520166234,0.7175290268059883
186.63831326218573,0.7175290264416369
199.90631013171316,0.7175290254519144
185.72995804721944,0.7175290253019355
234.5918206890736,0.7175290235726184
236.6956732486021,0.7175290173663541
228.57754826501508,0.7175290160008474
249.08878502248749,0.7175290142982016
233.07863989708744,0.7175290137447448
240.3698204690082,0.7175290122270988
227.78977011801538,0.7175290119238716
207.8663520187163,0.7175290106981387
