charger,Extra ports added,x_coord,y_coord,Latitude,Longitude,NearestBus,Pwr_Region
1084,2,-10878787.68485893,3532061.54774268,30.221562500000005,-97.7258125,p3ulv76148,P3U
1089,2,-10879149.47320401,3534670.608978566,30.241812499999998,-97.72906250000001,p5ulv20970,P5U
23,10,-10907530.81697494,3547773.75264424,30.343448283540734,-97.98401644893279,p4ulv38004,P4U
24,9,-10907530.81697494,3554073.75264424,30.39227731699329,-97.98401644893279,p4udt15767lv,P4U
33,10,-10901230.81697494,3560373.75264424,30.441081955719383,-97.92742258603326,p4ulv32823,P4U
34,8,-10901230.81697494,3566673.75264424,30.489862176513196,-97.92742258603326,p4ulv16185,P4U
36,7,-10894930.81697494,3522573.75264424,30.147888669468426,-97.87082872313373,p3udt31036-p3udt4803x,P3U
45,12,-10882330.81697494,3516273.75264424,30.098938013357436,-97.75764099733466,p1rlv10253,P1R
56,7,-10869730.81697494,3566673.75264424,30.489862176513196,-97.6444532715356,p1ulv48872,P1U
62,5,-10863430.81697494,3547773.75264424,30.343448283540734,-97.58785940863608,p1rlv9788,P1R
80,5,-10850830.81697494,3535173.75264424,30.245717125691755,-97.47467168283701,p1rlv11072,P1R
