charger,Extra ports added,x_coord,y_coord,Latitude,Longitude,NearestBus,Pwr_Region
23,10,-10907530.81697494,3547773.75264424,30.343448283540734,-97.98401644893279,p4ulv38004,P4U
24,9,-10907530.81697494,3554073.75264424,30.39227731699329,-97.98401644893279,p4udt15767lv,P4U
33,10,-10901230.81697494,3560373.75264424,30.441081955719383,-97.92742258603326,p4ulv32823,P4U
34,8,-10901230.81697494,3566673.75264424,30.489862176513196,-97.92742258603326,p4ulv16185,P4U
36,7,-10894930.81697494,3522573.75264424,30.147888669468426,-97.87082872313373,p3udt31036-p3udt4803x,P3U
45,12,-10882330.81697494,3516273.75264424,30.098938013357436,-97.75764099733466,p1rlv10253,P1R
56,7,-10869730.81697494,3566673.75264424,30.489862176513196,-97.6444532715356,p1ulv48872,P1U
62,5,-10863430.81697494,3547773.75264424,30.343448283540734,-97.58785940863608,p1rlv9788,P1R
70,5,-10857130.81697494,3535173.75264424,30.245717125691755,-97.53126554573655,p1rlv767,P1R
