charger,Extra ports added,x_coord,y_coord,Latitude,Longitude,NearestBus,Pwr_Region
1025,5,-10897044.08134903,3533301.590088827,30.23118750000001,-97.88981250000003,p3udt30097lv,P3U
1032,5,-10903347.54751519,3543871.035444167,30.313187499999994,-97.94643749999994,p4ulv30034,P4U
1040,5,-10885939.9621424,3561727.05629189,30.451562499999998,-97.79006250000003,p1udt9402,P1U
1045,5,-10895680.41758681,3552707.170300589,30.38168749999999,-97.87756250000001,p4udt7423lv,P4U
1050,2,-10889488.27091143,3567442.457144531,30.495812499999992,-97.82193749999996,p1rlv1501,P1R
1069,5,-10886371.32516922,3521952.480829009,30.143062499999992,-97.7939375,p3ulv37691,P3U
1070,5,-10887275.79603192,3520005.639460523,30.1279375,-97.80206250000002,p3udt25359lv,P3U
1122,5,-10865359.77128199,3536345.845202754,30.254812499999996,-97.60518749999999,p2udt4133lv,P2U
1136,5,-10857511.74718107,3549965.371702002,30.360437500000007,-97.53468750000003,p2ulv22751,P2U
1238,2,-10868059.26893373,3560581.059628194,30.442687499999998,-97.62943750000002,p1udt24509lv,P1U
1255,4,-10873513.9239826,3566538.152951642,30.488812500000005,-97.67843750000002,p1ulv29219,P1U
18,4,-10913830.81697494,3554073.75264424,30.39227731699329,-98.04061031183231,p1rlv3226,P1R
23,4,-10907530.81697494,3547773.75264424,30.343448283540734,-97.98401644893279,p4ulv38004,P4U
26,4,-10907530.81697494,3566673.75264424,30.489862176513196,-97.98401644893279,p4ulv19599,P4U
48,4,-10876030.81697494,3509973.75264424,30.049963103487254,-97.70104713443513,p1rdt7880,P1R
