charger,Extra ports added,x_coord,y_coord,Latitude,Longitude,NearestBus,Pwr_Region
1024,1,-10897057.99628538,3535556.523598031,30.24868750000001,-97.88993750000004,p3udt20055lv,P3U
1039,2,-10889975.29368365,3541050.578740198,30.291312499999997,-97.82631249999997,p5udt32429,P5U
1071,2,-10882182.92932812,3523159.350499165,30.1524375,-97.75631249999995,p3udt19678,P3U
1136,3,-10857511.74718107,3549965.371702002,30.360437500000007,-97.53468750000003,p2ulv22751,P2U
1238,3,-10868059.26893373,3560581.059628194,30.442687499999998,-97.62943750000002,p1udt24509lv,P1U
1255,4,-10873513.9239826,3566538.152951642,30.488812500000005,-97.67843750000002,p1ulv29219,P1U
1271,1,-10907355.04918375,3529646.229205474,30.202812500000007,-97.98243749999997,p3udt8237_b2_1,P3U
1351,1,-10869005.48460547,3555772.239044071,30.405437500000005,-97.63793749999999,p1udt22345lv,P1U
23,8,-10907530.81697494,3547773.75264424,30.343448283540734,-97.98401644893279,p4ulv38004,P4U
24,8,-10907530.81697494,3554073.75264424,30.39227731699329,-97.98401644893279,p4udt15767lv,P4U
33,8,-10901230.81697494,3560373.75264424,30.441081955719383,-97.92742258603326,p4ulv32823,P4U
34,8,-10901230.81697494,3566673.75264424,30.489862176513196,-97.92742258603326,p4ulv16185,P4U
36,4,-10894930.81697494,3522573.75264424,30.147888669468426,-97.87082872313373,p3udt31036-p3udt4803x,P3U
45,6,-10882330.81697494,3516273.75264424,30.098938013357436,-97.75764099733466,p1rlv10253,P1R
48,5,-10876030.81697494,3509973.75264424,30.049963103487254,-97.70104713443513,p1rdt7880,P1R
70,4,-10857130.81697494,3535173.75264424,30.245717125691755,-97.53126554573655,p1rlv767,P1R
