Name,Latitude,Longitude,Address,Hour Status
Lake Travis Elementary School,30.3701875,-97.9453125,"15303 Kollmeyer Dr, Austin, TX 78734",[]
Cox Springs School,30.4549375,-97.9518125,"18725 Old Burnet Rd, Jonestown, TX 78645",[]
Baseball Velocity School,30.4914375,-97.9234375,"18671 Old Farm to Market Rd 1431, Jonestown, TX 78645",[]
Enkindle Pottery Studio,30.496562500000003,-97.9233125,"18601 RM 1431 Suite 102, Jonestown, TX 78645",[]
Villa Antonia,30.4670625,-97.9521875,"19039 Adrian Way, Jonestown, TX 78645",[]
Lucky Rabbit Live Music Bar & Kitchen,30.4944375,-97.9251875,"18626 RM 1431, Jonestown, TX 78645","['0% busy at 6\u202fAM.', '0% busy at 7\u202fAM.', '0% busy at 8\u202fAM.', '0% busy at 9\u202fAM.', '16% busy at 10\u202fAM.', '30% busy at 11\u202fAM.', '45% busy at 12\u202fPM.', '44% busy at 1\u202fPM.', '41% busy at 2\u202fPM.', '38% busy at 3\u202fPM.', '45% busy at 4\u202fPM.', '51% busy at 5\u202fPM.', '52% busy at 6\u202fPM.', '45% busy at 7\u202fPM.', '31% busy at 8\u202fPM.', '16% busy at 9\u202fPM.', '0% busy at 10\u202fPM.', '0% busy at 11\u202fPM.', '0% busy at 6\u202fAM.', '0% busy at 7\u202fAM.', '0% busy at 8\u202fAM.', '0% busy at 9\u202fAM.', '0% busy at 10\u202fAM.', '12% busy at 11\u202fAM.', '13% busy at 12\u202fPM.', '10% busy at 1\u202fPM.', '6% busy at 2\u202fPM.', '6% busy at 3\u202fPM.', '15% busy at 4\u202fPM.', '26% busy at 5\u202fPM.', '33% busy at 6\u202fPM.', '35% busy at 7\u202fPM.', '29% busy at 8\u202fPM.', '15% busy at 9\u202fPM.', '0% busy at 10\u202fPM.', '0% busy at 11\u202fPM.', '0% busy at 6\u202fAM.', '0% busy at 7\u202fAM.', '0% busy at 8\u202fAM.', '0% busy at 9\u202fAM.', '0% busy at 10\u202fAM.', '12% busy at 11\u202fAM.', '11% busy at 12\u202fPM.', '10% busy at 1\u202fPM.', '12% busy at 2\u202fPM.', '15% busy at 3\u202fPM.', '21% busy at 4\u202fPM.', '25% busy at 5\u202fPM.', '28% busy at 6\u202fPM.', '28% busy at 7\u202fPM.', '27% busy at 8\u202fPM.', '19% busy at 9\u202fPM.', '0% busy at 10\u202fPM.', '0% busy at 11\u202fPM.', '0% busy at 6\u202fAM.', '0% busy at 7\u202fAM.', '0% busy at 8\u202fAM.', '0% busy at 9\u202fAM.', '0% busy at 10\u202fAM.', '6% busy at 11\u202fAM.', '6% busy at 12\u202fPM.', '7% busy at 1\u202fPM.', '11% busy at 2\u202fPM.', '13% busy at 3\u202fPM.', '22% busy at 4\u202fPM.', '38% busy at 5\u202fPM.', '57% busy at 6\u202fPM.', '66% busy at 7\u202fPM.', '60% busy at 8\u202fPM.', '40% busy at 9\u202fPM.', '25% busy at 10\u202fPM.', '15% busy at 11\u202fPM.', '0% busy at 6\u202fAM.', '0% busy at 7\u202fAM.', '0% busy at 8\u202fAM.', '0% busy at 9\u202fAM.', '0% busy at 10\u202fAM.', '13% busy at 11\u202fAM.', '19% busy at 12\u202fPM.', '18% busy at 1\u202fPM.', '14% busy at 2\u202fPM.', '12% busy at 3\u202fPM.', '18% busy at 4\u202fPM.', '30% busy at 5\u202fPM.', '38% busy at 6\u202fPM.', '43% busy at 7\u202fPM.', '39% busy at 8\u202fPM.', '30% busy at 9\u202fPM.', '19% busy at 10\u202fPM.', '9% busy at 11\u202fPM.', '0% busy at 6\u202fAM.', '0% busy at 7\u202fAM.', '0% busy at 8\u202fAM.', '0% busy at 9\u202fAM.', '0% busy at 10\u202fAM.', '16% busy at 11\u202fAM.', '25% busy at 12\u202fPM.', '28% busy at 1\u202fPM.', '29% busy at 2\u202fPM.', '32% busy at 3\u202fPM.', '42% busy at 4\u202fPM.', '56% busy at 5\u202fPM.', '76% busy at 6\u202fPM.', '90% busy at 7\u202fPM.', '100% busy at 8\u202fPM.', '91% busy at 9\u202fPM.', '73% busy at 10\u202fPM.', '48% busy at 11\u202fPM.', '26% busy at 12\u202fAM.', '0% busy at 6\u202fAM.', '0% busy at 7\u202fAM.', '0% busy at 8\u202fAM.', '0% busy at 9\u202fAM.', '19% busy at 10\u202fAM.', '35% busy at 11\u202fAM.', '49% busy at 12\u202fPM.', '57% busy at 1\u202fPM.', '63% busy at 2\u202fPM.', '64% busy at 3\u202fPM.', '66% busy at 4\u202fPM.', '70% busy at 5\u202fPM.', '80% busy at 6\u202fPM.', '86% busy at 7\u202fPM.', '92% busy at 8\u202fPM.', '89% busy at 9\u202fPM.', '79% busy at 10\u202fPM.', '62% busy at 11\u202fPM.', '39% busy at 12\u202fAM.']"
The Waterfall Terrace,30.4929375,-97.9378125,"10210 Vassar Rd, Jonestown, TX 78645",[]
The Bunker Self Defense,30.5034375,-97.9163125,"18360 RM 1431 Suite C, Jonestown, TX 78645","['0% busy at 5\u202fAM.', '42% busy at 6\u202fAM.', '31% busy at 7\u202fAM.', '36% busy at 8\u202fAM.', '52% busy at 9\u202fAM.', '26% busy at 10\u202fAM.', '10% busy at 11\u202fAM.', '0% busy at 12\u202fPM.', '0% busy at 1\u202fPM.', '0% busy at 2\u202fPM.', '0% busy at 3\u202fPM.', '0% busy at 4\u202fPM.', '0% busy at 5\u202fPM.', '0% busy at 6\u202fPM.', '5% busy at 7\u202fPM.', '15% busy at 8\u202fPM.', '0% busy at 9\u202fPM.', '0% busy at 10\u202fPM.', '0% busy at 5\u202fAM.', '15% busy at 6\u202fAM.', '5% busy at 7\u202fAM.', '10% busy at 8\u202fAM.', '15% busy at 9\u202fAM.', '5% busy at 10\u202fAM.', '10% busy at 11\u202fAM.', '10% busy at 12\u202fPM.', '10% busy at 1\u202fPM.', '0% busy at 2\u202fPM.', '15% busy at 3\u202fPM.', '21% busy at 4\u202fPM.', '63% busy at 5\u202fPM.', '63% busy at 6\u202fPM.', '100% busy at 7\u202fPM.', '73% busy at 8\u202fPM.', '0% busy at 9\u202fPM.', '0% busy at 10\u202fPM.', '0% busy at 5\u202fAM.', '0% busy at 6\u202fAM.', '0% busy at 7\u202fAM.', '0% busy at 8\u202fAM.', '0% busy at 9\u202fAM.', '0% busy at 10\u202fAM.', '0% busy at 11\u202fAM.', '0% busy at 12\u202fPM.', '0% busy at 1\u202fPM.', '10% busy at 2\u202fPM.', '26% busy at 3\u202fPM.', '42% busy at 4\u202fPM.', '57% busy at 5\u202fPM.', '52% busy at 6\u202fPM.', '47% busy at 7\u202fPM.', '31% busy at 8\u202fPM.', '0% busy at 9\u202fPM.', '0% busy at 10\u202fPM.', '0% busy at 5\u202fAM.', '26% busy at 6\u202fAM.', '21% busy at 7\u202fAM.', '5% busy at 8\u202fAM.', '0% busy at 9\u202fAM.', '5% busy at 10\u202fAM.', '10% busy at 11\u202fAM.', '15% busy at 12\u202fPM.', '15% busy at 1\u202fPM.', '36% busy at 2\u202fPM.', '36% busy at 3\u202fPM.', '63% busy at 4\u202fPM.', '73% busy at 5\u202fPM.', '94% busy at 6\u202fPM.', '78% busy at 7\u202fPM.', '84% busy at 8\u202fPM.', '0% busy at 9\u202fPM.', '0% busy at 10\u202fPM.', '0% busy at 6\u202fAM.', '0% busy at 7\u202fAM.', '0% busy at 8\u202fAM.', '0% busy at 9\u202fAM.', '47% busy at 10\u202fAM.', '31% busy at 11\u202fAM.', '26% busy at 12\u202fPM.', '31% busy at 1\u202fPM.', '15% busy at 2\u202fPM.', '5% busy at 3\u202fPM.', '0% busy at 4\u202fPM.', '10% busy at 5\u202fPM.', '15% busy at 6\u202fPM.', '36% busy at 7\u202fPM.', '31% busy at 8\u202fPM.', '15% busy at 9\u202fPM.', '10% busy at 10\u202fPM.', '10% busy at 11\u202fPM.', '10% busy at 12\u202fAM.', '26% busy at 1\u202fAM.', '10% busy at 2\u202fAM.', '0% busy at 6\u202fAM.', '0% busy at 7\u202fAM.', '0% busy at 8\u202fAM.', '21% busy at 9\u202fAM.', '52% busy at 10\u202fAM.', '52% busy at 11\u202fAM.', '21% busy at 12\u202fPM.', '5% busy at 1\u202fPM.', '5% busy at 2\u202fPM.', '0% busy at 3\u202fPM.', '0% busy at 4\u202fPM.', '0% busy at 5\u202fPM.', '0% busy at 6\u202fPM.', '0% busy at 7\u202fPM.', '0% busy at 8\u202fPM.', '0% busy at 9\u202fPM.', '0% busy at 10\u202fPM.', '0% busy at 11\u202fPM.']"
Lone Star Bar,30.4921875,-97.9233125,"18655 RM 1431, Jonestown, TX 78645","['0% busy at 6\u202fAM.', '0% busy at 7\u202fAM.', '0% busy at 8\u202fAM.', '0% busy at 9\u202fAM.', '0% busy at 10\u202fAM.', '0% busy at 11\u202fAM.', '14% busy at 12\u202fPM.', '16% busy at 1\u202fPM.', '13% busy at 2\u202fPM.', '12% busy at 3\u202fPM.', '8% busy at 4\u202fPM.', '5% busy at 5\u202fPM.', '8% busy at 6\u202fPM.', '12% busy at 7\u202fPM.', '12% busy at 8\u202fPM.', '14% busy at 9\u202fPM.', '15% busy at 10\u202fPM.', '17% busy at 11\u202fPM.', '11% busy at 12\u202fAM.', '12% busy at 1\u202fAM.', '0% busy at 6\u202fAM.', '0% busy at 7\u202fAM.', '0% busy at 8\u202fAM.', '0% busy at 9\u202fAM.', '0% busy at 10\u202fAM.', '0% busy at 11\u202fAM.', '0% busy at 12\u202fPM.', '0% busy at 1\u202fPM.', '0% busy at 2\u202fPM.', '0% busy at 3\u202fPM.', '0% busy at 4\u202fPM.', '25% busy at 5\u202fPM.', '23% busy at 6\u202fPM.', '23% busy at 7\u202fPM.', '16% busy at 8\u202fPM.', '14% busy at 9\u202fPM.', '14% busy at 10\u202fPM.', '13% busy at 11\u202fPM.', '7% busy at 12\u202fAM.', '4% busy at 1\u202fAM.', '0% busy at 6\u202fAM.', '0% busy at 7\u202fAM.', '0% busy at 8\u202fAM.', '0% busy at 9\u202fAM.', '0% busy at 10\u202fAM.', '0% busy at 11\u202fAM.', '0% busy at 12\u202fPM.', '0% busy at 1\u202fPM.', '8% busy at 2\u202fPM.', '12% busy at 3\u202fPM.', '17% busy at 4\u202fPM.', '27% busy at 5\u202fPM.', '34% busy at 6\u202fPM.', '36% busy at 7\u202fPM.', '36% busy at 8\u202fPM.', '33% busy at 9\u202fPM.', '26% busy at 10\u202fPM.', '19% busy at 11\u202fPM.', '15% busy at 12\u202fAM.', '11% busy at 1\u202fAM.', '0% busy at 6\u202fAM.', '0% busy at 7\u202fAM.', '0% busy at 8\u202fAM.', '0% busy at 9\u202fAM.', '0% busy at 10\u202fAM.', '0% busy at 11\u202fAM.', '0% busy at 12\u202fPM.', '0% busy at 1\u202fPM.', '20% busy at 2\u202fPM.', '22% busy at 3\u202fPM.', '24% busy at 4\u202fPM.', '27% busy at 5\u202fPM.', '26% busy at 6\u202fPM.', '27% busy at 7\u202fPM.', '24% busy at 8\u202fPM.', '29% busy at 9\u202fPM.', '36% busy at 10\u202fPM.', '38% busy at 11\u202fPM.', '29% busy at 12\u202fAM.', '19% busy at 1\u202fAM.', '0% busy at 6\u202fAM.', '0% busy at 7\u202fAM.', '0% busy at 8\u202fAM.', '0% busy at 9\u202fAM.', '0% busy at 10\u202fAM.', '0% busy at 11\u202fAM.', '0% busy at 12\u202fPM.', '0% busy at 1\u202fPM.', '13% busy at 2\u202fPM.', '23% busy at 3\u202fPM.', '26% busy at 4\u202fPM.', '34% busy at 5\u202fPM.', '38% busy at 6\u202fPM.', '42% busy at 7\u202fPM.', '45% busy at 8\u202fPM.', '42% busy at 9\u202fPM.', '38% busy at 10\u202fPM.', '30% busy at 11\u202fPM.', '23% busy at 12\u202fAM.', '15% busy at 1\u202fAM.', '0% busy at 6\u202fAM.', '0% busy at 7\u202fAM.', '0% busy at 8\u202fAM.', '0% busy at 9\u202fAM.', '0% busy at 10\u202fAM.', '0% busy at 11\u202fAM.', '0% busy at 12\u202fPM.', '0% busy at 1\u202fPM.', '13% busy at 2\u202fPM.', '16% busy at 3\u202fPM.', '25% busy at 4\u202fPM.', '24% busy at 5\u202fPM.', '25% busy at 6\u202fPM.', '26% busy at 7\u202fPM.', '50% busy at 8\u202fPM.', '78% busy at 9\u202fPM.', '100% busy at 10\u202fPM.', '97% busy at 11\u202fPM.', '65% busy at 12\u202fAM.', '34% busy at 1\u202fAM.', '0% busy at 6\u202fAM.', '0% busy at 7\u202fAM.', '0% busy at 8\u202fAM.', '0% busy at 9\u202fAM.', '0% busy at 10\u202fAM.', '0% busy at 11\u202fAM.', '7% busy at 12\u202fPM.', '9% busy at 1\u202fPM.', '15% busy at 2\u202fPM.', '23% busy at 3\u202fPM.', '30% busy at 4\u202fPM.', '24% busy at 5\u202fPM.', '20% busy at 6\u202fPM.', '22% busy at 7\u202fPM.', '38% busy at 8\u202fPM.', '63% busy at 9\u202fPM.', '78% busy at 10\u202fPM.', '79% busy at 11\u202fPM.', '61% busy at 12\u202fAM.', '41% busy at 1\u202fAM.']"
Soul Society Yoga,30.496562500000003,-97.9233125,"18601 RM 1431, Jonestown, TX 78645",[]
