Name,Latitude,Longitude,Address,Interface,Power,Occupancy,ChargerNumber,Hour Status
ChargePoint Charging Station,30.2668125,-97.7540625,"811 1/2 Electric Drive, Austin, TX 78703","['CHAdeMO', 'CCS', 'CHAdeMO', 'CCS', 'CHAdeMO', 'CCS']","['· 125 kW', '· 125 kW', '· 62.5 kW', '· 62.5 kW', '· 50 kW', '· 50 kW']","['1/6', '0/6', '1', '0/1', '0/1', '0/1']",16,"['28% busy at 4\u202fAM.', '21% busy at 5\u202fAM.', '21% busy at 6\u202fAM.', '17% busy at 7\u202fAM.', '34% busy at 8\u202fAM.', '30% busy at 9\u202fAM.', '41% busy at 10\u202fAM.', '32% busy at 11\u202fAM.', '30% busy at 12\u202fPM.', '45% busy at 1\u202fPM.', '30% busy at 2\u202fPM.', '19% busy at 3\u202fPM.', '10% busy at 4\u202fPM.', 'Currently 100% busy, usually 15% busy.', '23% busy at 6\u202fPM.', '19% busy at 7\u202fPM.', '28% busy at 8\u202fPM.', '13% busy at 9\u202fPM.', '10% busy at 10\u202fPM.', '13% busy at 11\u202fPM.', '6% busy at 12\u202fAM.', '2% busy at 1\u202fAM.', '6% busy at 2\u202fAM.', '17% busy at 3\u202fAM.', '58% busy at 4\u202fAM.', '63% busy at 5\u202fAM.', '41% busy at 6\u202fAM.', '32% busy at 7\u202fAM.', '30% busy at 8\u202fAM.', '19% busy at 9\u202fAM.', '19% busy at 10\u202fAM.', '15% busy at 11\u202fAM.', '19% busy at 12\u202fPM.', '36% busy at 1\u202fPM.', '23% busy at 2\u202fPM.', '23% busy at 3\u202fPM.', '6% busy at 4\u202fPM.', '4% busy at 5\u202fPM.', '8% busy at 6\u202fPM.', '15% busy at 7\u202fPM.', '34% busy at 8\u202fPM.', '45% busy at 9\u202fPM.', '63% busy at 10\u202fPM.', '43% busy at 11\u202fPM.', '41% busy at 12\u202fAM.', '17% busy at 1\u202fAM.', '15% busy at 2\u202fAM.', '28% busy at 3\u202fAM.', '39% busy at 4\u202fAM.', '28% busy at 5\u202fAM.', '32% busy at 6\u202fAM.', '23% busy at 7\u202fAM.', '13% busy at 8\u202fAM.', '6% busy at 9\u202fAM.', '8% busy at 10\u202fAM.', '8% busy at 11\u202fAM.', '13% busy at 12\u202fPM.', '26% busy at 1\u202fPM.', '19% busy at 2\u202fPM.', '23% busy at 3\u202fPM.', '13% busy at 4\u202fPM.', '13% busy at 5\u202fPM.', '10% busy at 6\u202fPM.', '26% busy at 7\u202fPM.', '28% busy at 8\u202fPM.', '45% busy at 9\u202fPM.', '54% busy at 10\u202fPM.', '65% busy at 11\u202fPM.', '39% busy at 12\u202fAM.', '39% busy at 1\u202fAM.', '41% busy at 2\u202fAM.', '56% busy at 3\u202fAM.', '10% busy at 4\u202fAM.', '17% busy at 5\u202fAM.', '21% busy at 6\u202fAM.', '13% busy at 7\u202fAM.', '17% busy at 8\u202fAM.', '19% busy at 9\u202fAM.', '36% busy at 10\u202fAM.', '26% busy at 11\u202fAM.', '34% busy at 12\u202fPM.', '45% busy at 1\u202fPM.', '65% busy at 2\u202fPM.', '73% busy at 3\u202fPM.', '43% busy at 4\u202fPM.', '28% busy at 5\u202fPM.', '23% busy at 6\u202fPM.', '47% busy at 7\u202fPM.', '36% busy at 8\u202fPM.', '50% busy at 9\u202fPM.', '50% busy at 10\u202fPM.', '45% busy at 11\u202fPM.', '26% busy at 12\u202fAM.', '17% busy at 1\u202fAM.', '21% busy at 2\u202fAM.', '13% busy at 3\u202fAM.', '78% busy at 4\u202fAM.', '63% busy at 5\u202fAM.', '32% busy at 6\u202fAM.', '19% busy at 7\u202fAM.', '17% busy at 8\u202fAM.', '23% busy at 9\u202fAM.', '36% busy at 10\u202fAM.', '28% busy at 11\u202fAM.', '36% busy at 12\u202fPM.', '28% busy at 1\u202fPM.', '26% busy at 2\u202fPM.', '23% busy at 3\u202fPM.', '10% busy at 4\u202fPM.', '4% busy at 5\u202fPM.', '6% busy at 6\u202fPM.', '26% busy at 7\u202fPM.', '54% busy at 8\u202fPM.', '63% busy at 9\u202fPM.', '32% busy at 10\u202fPM.', '21% busy at 11\u202fPM.', '6% busy at 12\u202fAM.', '13% busy at 1\u202fAM.', '32% busy at 2\u202fAM.', '63% busy at 3\u202fAM.', '21% busy at 4\u202fAM.', '23% busy at 5\u202fAM.', '21% busy at 6\u202fAM.', '19% busy at 7\u202fAM.', '19% busy at 8\u202fAM.', '19% busy at 9\u202fAM.', '8% busy at 10\u202fAM.', '8% busy at 11\u202fAM.', '15% busy at 12\u202fPM.', '30% busy at 1\u202fPM.', '36% busy at 2\u202fPM.', '45% busy at 3\u202fPM.', '41% busy at 4\u202fPM.', '54% busy at 5\u202fPM.', '50% busy at 6\u202fPM.', '84% busy at 7\u202fPM.', '86% busy at 8\u202fPM.', '100% busy at 9\u202fPM.', '82% busy at 10\u202fPM.', '80% busy at 11\u202fPM.', '36% busy at 12\u202fAM.', '15% busy at 1\u202fAM.', '2% busy at 2\u202fAM.', '8% busy at 3\u202fAM.', '4% busy at 4\u202fAM.', '10% busy at 5\u202fAM.', '23% busy at 6\u202fAM.', '19% busy at 7\u202fAM.', '23% busy at 8\u202fAM.', '23% busy at 9\u202fAM.', '15% busy at 10\u202fAM.', '19% busy at 11\u202fAM.', '17% busy at 12\u202fPM.', '13% busy at 1\u202fPM.', '10% busy at 2\u202fPM.', '23% busy at 3\u202fPM.', '47% busy at 4\u202fPM.', '65% busy at 5\u202fPM.', '73% busy at 6\u202fPM.', '71% busy at 7\u202fPM.', '67% busy at 8\u202fPM.', '89% busy at 9\u202fPM.', '78% busy at 10\u202fPM.', '50% busy at 11\u202fPM.', '23% busy at 12\u202fAM.', '15% busy at 1\u202fAM.', '6% busy at 2\u202fAM.', '2% busy at 3\u202fAM.']"
ChargePoint Charging Station,30.2641875,-97.7339375,"901 E 5th St., Austin, TX 78702","['CHAdeMO', 'CCS', 'CHAdeMO', 'CCS', 'J1772']","['· 125 kW', '· 125 kW', '· 62.5 kW', '· 62.5 kW', '· 6.48 kW']","['0/2', '2', '0/2', '0/2', '2/2']",10,"['0% busy at 4\u202fAM.', '0% busy at 5\u202fAM.', '14% busy at 6\u202fAM.', '35% busy at 7\u202fAM.', '50% busy at 8\u202fAM.', '42% busy at 9\u202fAM.', '28% busy at 10\u202fAM.', '35% busy at 11\u202fAM.', '14% busy at 12\u202fPM.', '7% busy at 1\u202fPM.', '0% busy at 2\u202fPM.', '7% busy at 3\u202fPM.', '14% busy at 4\u202fPM.', '7% busy at 5\u202fPM.', '7% busy at 6\u202fPM.', '21% busy at 7\u202fPM.', '7% busy at 8\u202fPM.', '0% busy at 9\u202fPM.', '0% busy at 10\u202fPM.', '0% busy at 11\u202fPM.', '0% busy at 12\u202fAM.', '14% busy at 1\u202fAM.', '21% busy at 2\u202fAM.', '14% busy at 3\u202fAM.', '14% busy at 4\u202fAM.', '28% busy at 5\u202fAM.', '50% busy at 6\u202fAM.', '50% busy at 7\u202fAM.', '28% busy at 8\u202fAM.', '28% busy at 9\u202fAM.', '42% busy at 10\u202fAM.', '50% busy at 11\u202fAM.', '50% busy at 12\u202fPM.', '28% busy at 1\u202fPM.', '21% busy at 2\u202fPM.', '7% busy at 3\u202fPM.', '14% busy at 4\u202fPM.', '35% busy at 5\u202fPM.', '85% busy at 6\u202fPM.', '100% busy at 7\u202fPM.', '78% busy at 8\u202fPM.', '50% busy at 9\u202fPM.', '28% busy at 10\u202fPM.', '7% busy at 11\u202fPM.', '0% busy at 12\u202fAM.', '0% busy at 1\u202fAM.', '7% busy at 2\u202fAM.', '14% busy at 3\u202fAM.', '0% busy at 4\u202fAM.', '0% busy at 5\u202fAM.', '14% busy at 6\u202fAM.', '42% busy at 7\u202fAM.', '100% busy at 8\u202fAM.', '78% busy at 9\u202fAM.', '42% busy at 10\u202fAM.', '7% busy at 11\u202fAM.', '0% busy at 12\u202fPM.', '0% busy at 1\u202fPM.', '7% busy at 2\u202fPM.', '7% busy at 3\u202fPM.', '14% busy at 4\u202fPM.', '28% busy at 5\u202fPM.', '14% busy at 6\u202fPM.', '7% busy at 7\u202fPM.', '14% busy at 8\u202fPM.', '14% busy at 9\u202fPM.', '14% busy at 10\u202fPM.', '21% busy at 11\u202fPM.', '21% busy at 12\u202fAM.', '35% busy at 1\u202fAM.', '14% busy at 2\u202fAM.', '7% busy at 3\u202fAM.', '0% busy at 4\u202fAM.', '7% busy at 5\u202fAM.', '28% busy at 6\u202fAM.', '42% busy at 7\u202fAM.', '71% busy at 8\u202fAM.', '64% busy at 9\u202fAM.', '42% busy at 10\u202fAM.', '28% busy at 11\u202fAM.', '35% busy at 12\u202fPM.', '35% busy at 1\u202fPM.', '14% busy at 2\u202fPM.', '7% busy at 3\u202fPM.', '14% busy at 4\u202fPM.', '28% busy at 5\u202fPM.', '42% busy at 6\u202fPM.', '35% busy at 7\u202fPM.', '28% busy at 8\u202fPM.', '14% busy at 9\u202fPM.', '28% busy at 10\u202fPM.', '14% busy at 11\u202fPM.', '7% busy at 12\u202fAM.', '0% busy at 1\u202fAM.', '0% busy at 2\u202fAM.', '0% busy at 3\u202fAM.', '28% busy at 4\u202fAM.', '7% busy at 5\u202fAM.', '0% busy at 6\u202fAM.', '0% busy at 7\u202fAM.', '7% busy at 8\u202fAM.', '14% busy at 9\u202fAM.', '7% busy at 10\u202fAM.', '14% busy at 11\u202fAM.', '21% busy at 12\u202fPM.', '50% busy at 1\u202fPM.', '35% busy at 2\u202fPM.', '42% busy at 3\u202fPM.', '14% busy at 4\u202fPM.', '7% busy at 5\u202fPM.', '0% busy at 6\u202fPM.', '0% busy at 7\u202fPM.', '7% busy at 8\u202fPM.', '14% busy at 9\u202fPM.', '14% busy at 10\u202fPM.', '14% busy at 11\u202fPM.', '35% busy at 12\u202fAM.', '21% busy at 1\u202fAM.', '28% busy at 2\u202fAM.', '42% busy at 3\u202fAM.', '7% busy at 4\u202fAM.', '0% busy at 5\u202fAM.', '7% busy at 6\u202fAM.', '21% busy at 7\u202fAM.', '57% busy at 8\u202fAM.', '57% busy at 9\u202fAM.', '64% busy at 10\u202fAM.', '21% busy at 11\u202fAM.', '7% busy at 12\u202fPM.', '0% busy at 1\u202fPM.', '7% busy at 2\u202fPM.', '21% busy at 3\u202fPM.', '50% busy at 4\u202fPM.', '21% busy at 5\u202fPM.', '14% busy at 6\u202fPM.', '0% busy at 7\u202fPM.', '0% busy at 8\u202fPM.', '0% busy at 9\u202fPM.', '0% busy at 10\u202fPM.', '0% busy at 11\u202fPM.', '0% busy at 12\u202fAM.', '0% busy at 1\u202fAM.', '7% busy at 2\u202fAM.', '14% busy at 3\u202fAM.', '7% busy at 4\u202fAM.', '14% busy at 5\u202fAM.', '7% busy at 6\u202fAM.', '0% busy at 7\u202fAM.', '7% busy at 8\u202fAM.', '21% busy at 9\u202fAM.', '64% busy at 10\u202fAM.', '57% busy at 11\u202fAM.', '85% busy at 12\u202fPM.', '50% busy at 1\u202fPM.', '21% busy at 2\u202fPM.', '0% busy at 3\u202fPM.', '14% busy at 4\u202fPM.', '35% busy at 5\u202fPM.', '50% busy at 6\u202fPM.', '57% busy at 7\u202fPM.', '42% busy at 8\u202fPM.', '21% busy at 9\u202fPM.', '21% busy at 10\u202fPM.', '50% busy at 11\u202fPM.', '42% busy at 12\u202fAM.', '42% busy at 1\u202fAM.', '28% busy at 2\u202fAM.', '14% busy at 3\u202fAM.']"
ChargePoint Charging Station,30.2711875,-97.7453125,"316 W 8th St, Austin, TX 78701","['CHAdeMO', 'CCS', 'J1772']","['· 62.5 kW', '· 62.5 kW', '· 6.48 kW']","['0/1', '1', '1/1']",3,"['23% busy at 4\u202fAM.', '46% busy at 5\u202fAM.', '69% busy at 6\u202fAM.', '53% busy at 7\u202fAM.', '30% busy at 8\u202fAM.', '30% busy at 9\u202fAM.', '30% busy at 10\u202fAM.', '53% busy at 11\u202fAM.', '30% busy at 12\u202fPM.', '23% busy at 1\u202fPM.', '7% busy at 2\u202fPM.', '15% busy at 3\u202fPM.', '38% busy at 4\u202fPM.', '84% busy at 5\u202fPM.', '100% busy at 6\u202fPM.', '84% busy at 7\u202fPM.', '92% busy at 8\u202fPM.', '84% busy at 9\u202fPM.', '46% busy at 10\u202fPM.', '23% busy at 11\u202fPM.', '7% busy at 12\u202fAM.', '7% busy at 1\u202fAM.', '23% busy at 2\u202fAM.', '23% busy at 3\u202fAM.', '15% busy at 4\u202fAM.', '30% busy at 5\u202fAM.', '15% busy at 6\u202fAM.', '7% busy at 7\u202fAM.', '7% busy at 8\u202fAM.', '23% busy at 9\u202fAM.', '30% busy at 10\u202fAM.', '69% busy at 11\u202fAM.', '92% busy at 12\u202fPM.', '92% busy at 1\u202fPM.', '38% busy at 2\u202fPM.', '15% busy at 3\u202fPM.', '0% busy at 4\u202fPM.', '0% busy at 5\u202fPM.', '7% busy at 6\u202fPM.', '23% busy at 7\u202fPM.', '61% busy at 8\u202fPM.', '38% busy at 9\u202fPM.', '15% busy at 10\u202fPM.', '0% busy at 11\u202fPM.', '0% busy at 12\u202fAM.', '0% busy at 1\u202fAM.', '0% busy at 2\u202fAM.', '15% busy at 3\u202fAM.', '15% busy at 4\u202fAM.', '7% busy at 5\u202fAM.', '7% busy at 6\u202fAM.', '7% busy at 7\u202fAM.', '0% busy at 8\u202fAM.', '7% busy at 9\u202fAM.', '23% busy at 10\u202fAM.', '53% busy at 11\u202fAM.', '61% busy at 12\u202fPM.', '30% busy at 1\u202fPM.', '7% busy at 2\u202fPM.', '0% busy at 3\u202fPM.', '0% busy at 4\u202fPM.', '0% busy at 5\u202fPM.', '0% busy at 6\u202fPM.', '7% busy at 7\u202fPM.', '23% busy at 8\u202fPM.', '15% busy at 9\u202fPM.', '23% busy at 10\u202fPM.', '61% busy at 11\u202fPM.', '38% busy at 12\u202fAM.', '23% busy at 1\u202fAM.', '15% busy at 2\u202fAM.', '15% busy at 3\u202fAM.', '23% busy at 4\u202fAM.', '7% busy at 5\u202fAM.', '15% busy at 6\u202fAM.', '15% busy at 7\u202fAM.', '30% busy at 8\u202fAM.', '23% busy at 9\u202fAM.', '30% busy at 10\u202fAM.', '23% busy at 11\u202fAM.', '7% busy at 12\u202fPM.', '7% busy at 1\u202fPM.', '23% busy at 2\u202fPM.', '30% busy at 3\u202fPM.', '7% busy at 4\u202fPM.', '0% busy at 5\u202fPM.', '0% busy at 6\u202fPM.', '0% busy at 7\u202fPM.', '0% busy at 8\u202fPM.', '7% busy at 9\u202fPM.', '23% busy at 10\u202fPM.', '53% busy at 11\u202fPM.', '46% busy at 12\u202fAM.', '30% busy at 1\u202fAM.', '30% busy at 2\u202fAM.', '15% busy at 3\u202fAM.', '69% busy at 4\u202fAM.', '69% busy at 5\u202fAM.', '53% busy at 6\u202fAM.', '61% busy at 7\u202fAM.', '30% busy at 8\u202fAM.', '23% busy at 9\u202fAM.', '15% busy at 10\u202fAM.', '46% busy at 11\u202fAM.', '30% busy at 12\u202fPM.', '53% busy at 1\u202fPM.', '30% busy at 2\u202fPM.', '53% busy at 3\u202fPM.', '46% busy at 4\u202fPM.', '46% busy at 5\u202fPM.', '15% busy at 6\u202fPM.', '7% busy at 7\u202fPM.', '15% busy at 8\u202fPM.', '38% busy at 9\u202fPM.', '38% busy at 10\u202fPM.', '30% busy at 11\u202fPM.', '23% busy at 12\u202fAM.', '30% busy at 1\u202fAM.', '30% busy at 2\u202fAM.', '38% busy at 3\u202fAM.', '7% busy at 4\u202fAM.', '0% busy at 5\u202fAM.', '0% busy at 6\u202fAM.', '0% busy at 7\u202fAM.', '7% busy at 8\u202fAM.', '23% busy at 9\u202fAM.', '7% busy at 10\u202fAM.', '7% busy at 11\u202fAM.', '23% busy at 12\u202fPM.', '7% busy at 1\u202fPM.', '7% busy at 2\u202fPM.', '23% busy at 3\u202fPM.', '53% busy at 4\u202fPM.', '23% busy at 5\u202fPM.', '7% busy at 6\u202fPM.', '7% busy at 7\u202fPM.', '0% busy at 8\u202fPM.', '7% busy at 9\u202fPM.', '23% busy at 10\u202fPM.', '46% busy at 11\u202fPM.', '38% busy at 12\u202fAM.', '30% busy at 1\u202fAM.', '53% busy at 2\u202fAM.', '23% busy at 3\u202fAM.', '23% busy at 4\u202fAM.', '7% busy at 5\u202fAM.', '7% busy at 6\u202fAM.', '15% busy at 7\u202fAM.', '7% busy at 8\u202fAM.', '0% busy at 9\u202fAM.', '15% busy at 10\u202fAM.', '30% busy at 11\u202fAM.', '38% busy at 12\u202fPM.', '15% busy at 1\u202fPM.', '23% busy at 2\u202fPM.', '15% busy at 3\u202fPM.', '46% busy at 4\u202fPM.', '46% busy at 5\u202fPM.', '69% busy at 6\u202fPM.', '30% busy at 7\u202fPM.', '23% busy at 8\u202fPM.', '15% busy at 9\u202fPM.', '7% busy at 10\u202fPM.', '15% busy at 11\u202fPM.', '15% busy at 12\u202fAM.', '15% busy at 1\u202fAM.', '23% busy at 2\u202fAM.', '53% busy at 3\u202fAM.']"
ChargePoint Charging Station,30.2584375,-97.7394375,"600 River St, Austin, TX 78701","['CHAdeMO', 'CCS', 'J1772']","['· 50 kW', '· 50 kW', '· 6.48 kW']","['1', '1', '2']",4,[]
ChargePoint Charging Station,30.2586875,-97.7388125,"55 Rainey St, Austin, TX 78701",['CCS'],['· 62.5 kW'],['2'],2,[]
Tesla Supercharger,30.247187500000003,-97.7500625,"1603 S Congress Ave, Austin, TX 78704",['Tesla'],['· 250 kW'],['8'],8,"['53% busy at 4\u202fAM.', '46% busy at 5\u202fAM.', '23% busy at 6\u202fAM.', '6% busy at 7\u202fAM.', '6% busy at 8\u202fAM.', '20% busy at 9\u202fAM.', '23% busy at 10\u202fAM.', '16% busy at 11\u202fAM.', '20% busy at 12\u202fPM.', '30% busy at 1\u202fPM.', '16% busy at 2\u202fPM.', '16% busy at 3\u202fPM.', '30% busy at 4\u202fPM.', 'Currently 0% busy, usually 26% busy.', '26% busy at 6\u202fPM.', '10% busy at 7\u202fPM.', '10% busy at 8\u202fPM.', '13% busy at 9\u202fPM.', '16% busy at 10\u202fPM.', '10% busy at 11\u202fPM.', '13% busy at 12\u202fAM.', '6% busy at 1\u202fAM.', '20% busy at 2\u202fAM.', '30% busy at 3\u202fAM.', '20% busy at 4\u202fAM.', '50% busy at 5\u202fAM.', '63% busy at 6\u202fAM.', '63% busy at 7\u202fAM.', '26% busy at 8\u202fAM.', '10% busy at 9\u202fAM.', '13% busy at 10\u202fAM.', '33% busy at 11\u202fAM.', '56% busy at 12\u202fPM.', '70% busy at 1\u202fPM.', '43% busy at 2\u202fPM.', '36% busy at 3\u202fPM.', '50% busy at 4\u202fPM.', '33% busy at 5\u202fPM.', '33% busy at 6\u202fPM.', '50% busy at 7\u202fPM.', '23% busy at 8\u202fPM.', '13% busy at 9\u202fPM.', '10% busy at 10\u202fPM.', '20% busy at 11\u202fPM.', '20% busy at 12\u202fAM.', '10% busy at 1\u202fAM.', '6% busy at 2\u202fAM.', '13% busy at 3\u202fAM.', '3% busy at 4\u202fAM.', '6% busy at 5\u202fAM.', '13% busy at 6\u202fAM.', '6% busy at 7\u202fAM.', '10% busy at 8\u202fAM.', '10% busy at 9\u202fAM.', '26% busy at 10\u202fAM.', '50% busy at 11\u202fAM.', '93% busy at 12\u202fPM.', '46% busy at 1\u202fPM.', '30% busy at 2\u202fPM.', '16% busy at 3\u202fPM.', '33% busy at 4\u202fPM.', '16% busy at 5\u202fPM.', '6% busy at 6\u202fPM.', '6% busy at 7\u202fPM.', '16% busy at 8\u202fPM.', '33% busy at 9\u202fPM.', '20% busy at 10\u202fPM.', '23% busy at 11\u202fPM.', '36% busy at 12\u202fAM.', '36% busy at 1\u202fAM.', '16% busy at 2\u202fAM.', '6% busy at 3\u202fAM.', '3% busy at 4\u202fAM.', '0% busy at 5\u202fAM.', '3% busy at 6\u202fAM.', '13% busy at 7\u202fAM.', '26% busy at 8\u202fAM.', '26% busy at 9\u202fAM.', '20% busy at 10\u202fAM.', '36% busy at 11\u202fAM.', '46% busy at 12\u202fPM.', '53% busy at 1\u202fPM.', '33% busy at 2\u202fPM.', '30% busy at 3\u202fPM.', '23% busy at 4\u202fPM.', '36% busy at 5\u202fPM.', '20% busy at 6\u202fPM.', '16% busy at 7\u202fPM.', '10% busy at 8\u202fPM.', '3% busy at 9\u202fPM.', '0% busy at 10\u202fPM.', '13% busy at 11\u202fPM.', '26% busy at 12\u202fAM.', '56% busy at 1\u202fAM.', '36% busy at 2\u202fAM.', '16% busy at 3\u202fAM.', '6% busy at 4\u202fAM.', '20% busy at 5\u202fAM.', '23% busy at 6\u202fAM.', '30% busy at 7\u202fAM.', '20% busy at 8\u202fAM.', '36% busy at 9\u202fAM.', '53% busy at 10\u202fAM.', '46% busy at 11\u202fAM.', '20% busy at 12\u202fPM.', '13% busy at 1\u202fPM.', '16% busy at 2\u202fPM.', '33% busy at 3\u202fPM.', '16% busy at 4\u202fPM.', '10% busy at 5\u202fPM.', '10% busy at 6\u202fPM.', '23% busy at 7\u202fPM.', '10% busy at 8\u202fPM.', '3% busy at 9\u202fPM.', '3% busy at 10\u202fPM.', '10% busy at 11\u202fPM.', '20% busy at 12\u202fAM.', '43% busy at 1\u202fAM.', '26% busy at 2\u202fAM.', '16% busy at 3\u202fAM.', '10% busy at 4\u202fAM.', '23% busy at 5\u202fAM.', '20% busy at 6\u202fAM.', '13% busy at 7\u202fAM.', '10% busy at 8\u202fAM.', '13% busy at 9\u202fAM.', '13% busy at 10\u202fAM.', '20% busy at 11\u202fAM.', '33% busy at 12\u202fPM.', '43% busy at 1\u202fPM.', '46% busy at 2\u202fPM.', '70% busy at 3\u202fPM.', '33% busy at 4\u202fPM.', '26% busy at 5\u202fPM.', '30% busy at 6\u202fPM.', '60% busy at 7\u202fPM.', '50% busy at 8\u202fPM.', '33% busy at 9\u202fPM.', '26% busy at 10\u202fPM.', '40% busy at 11\u202fPM.', '20% busy at 12\u202fAM.', '13% busy at 1\u202fAM.', '0% busy at 2\u202fAM.', '3% busy at 3\u202fAM.', '16% busy at 4\u202fAM.', '40% busy at 5\u202fAM.', '40% busy at 6\u202fAM.', '36% busy at 7\u202fAM.', '60% busy at 8\u202fAM.', '93% busy at 9\u202fAM.', '100% busy at 10\u202fAM.', '80% busy at 11\u202fAM.', '46% busy at 12\u202fPM.', '43% busy at 1\u202fPM.', '26% busy at 2\u202fPM.', '10% busy at 3\u202fPM.', '0% busy at 4\u202fPM.', '0% busy at 5\u202fPM.', '10% busy at 6\u202fPM.', '20% busy at 7\u202fPM.', '40% busy at 8\u202fPM.', '50% busy at 9\u202fPM.', '73% busy at 10\u202fPM.', '63% busy at 11\u202fPM.', '30% busy at 12\u202fAM.', '10% busy at 1\u202fAM.', '0% busy at 2\u202fAM.', '6% busy at 3\u202fAM.']"
Blink Charging Station,30.263687500000003,-97.7438125,"111 Congress Ave., Austin, TX 78704",['J1772'],['· 10.4 kW'],['4/4'],4,[]
Blink Charging Station,30.2659375,-97.7446875,"303 Colorado St, Austin, TX 78701",['J1772'],['· 10.4 kW'],['4/4'],4,[]
Blink Charging Station,30.2618125,-97.7418125,"98 San Jacinto Blvd, Austin, TX 78701",['J1772'],['· 10.4 kW'],['4/4'],4,[]
