PrimaryIndex,Hour,EV_demand_pred,center,avg_volt
0,0,0.03165568,"(-10926430.816974942, 3547773.7526442404)",0.9991129341083334
0,1,0.03165568,"(-10926430.816974942, 3547773.7526442404)",0.9991129341083334
0,2,0.03165568,"(-10926430.816974942, 3547773.7526442404)",0.9991129341083334
0,3,0.03165568,"(-10926430.816974942, 3547773.7526442404)",0.9991129341083334
0,4,0.03165568,"(-10926430.816974942, 3547773.7526442404)",0.9991129341083334
0,5,0.03165568,"(-10926430.816974942, 3547773.7526442404)",0.9991129341083334
0,6,0.03165568,"(-10926430.816974942, 3547773.7526442404)",0.9991129341083334
0,7,0.03165568,"(-10926430.816974942, 3547773.7526442404)",0.9991129341083334
0,8,0.03165568,"(-10926430.816974942, 3547773.7526442404)",0.9991129341083334
0,9,0.03165568,"(-10926430.816974942, 3547773.7526442404)",0.9991129341083334
0,10,0.03165568,"(-10926430.816974942, 3547773.7526442404)",0.9991129341083334
0,11,0.03165568,"(-10926430.816974942, 3547773.7526442404)",0.9991129341083334
0,12,0.03165568,"(-10926430.816974942, 3547773.7526442404)",0.9991129341083334
0,13,0.03165568,"(-10926430.816974942, 3547773.7526442404)",0.9991129341083334
0,14,0.03165568,"(-10926430.816974942, 3547773.7526442404)",0.9991129341083334
0,15,0.03165568,"(-10926430.816974942, 3547773.7526442404)",0.9991129341083334
0,16,0.03165568,"(-10926430.816974942, 3547773.7526442404)",0.9991129341083334
0,17,0.03165568,"(-10926430.816974942, 3547773.7526442404)",0.9991129341083334
0,18,0.03165568,"(-10926430.816974942, 3547773.7526442404)",0.9991129341083334
0,19,0.03165568,"(-10926430.816974942, 3547773.7526442404)",0.9991129341083334
0,20,0.03165568,"(-10926430.816974942, 3547773.7526442404)",0.9991129341083334
0,21,0.03165568,"(-10926430.816974942, 3547773.7526442404)",0.9991129341083334
0,22,0.03165568,"(-10926430.816974942, 3547773.7526442404)",0.9991129341083334
0,23,0.03165568,"(-10926430.816974942, 3547773.7526442404)",0.9991129341083334
1,0,0.7733954,"(-10926430.816974942, 3560373.7526442404)",1.009184525913689
1,1,0.7733954,"(-10926430.816974942, 3560373.7526442404)",1.009184525913689
1,2,0.7733954,"(-10926430.816974942, 3560373.7526442404)",1.009184525913689
1,3,0.7733954,"(-10926430.816974942, 3560373.7526442404)",1.009184525913689
1,4,0.7733954,"(-10926430.816974942, 3560373.7526442404)",1.009184525913689
1,5,0.7733954,"(-10926430.816974942, 3560373.7526442404)",1.009184525913689
1,6,1.1550435,"(-10926430.816974942, 3560373.7526442404)",1.009184525913689
